mcarm_5,mcarm_12,mcarm_3,mcarm_9,mcarm_20,mcarm_21,mcarm_11,mcarm_8,mcarm_2,mcarm_6,mcarm_19,mcarm_16,mcarm_10,mcarm_1,mcarm_13,mcarm_4,mcarm_14,mcarm_18,mcarm_17,mcarm_7,mcarm_15,mcarm_purpose_connection,mcarm_help_seeking,mcarm_beliefs_about_civilians,mcarm_resentment_regret,mcarm_regimentation,mcarm_total,wis_interdependent_11,wis_private_1,wis_family_19,wis_private_4,wis_skills_30,wis_connection_15,wis_private_5,wis_centrality_24,wis_private_7,wis_connection_17,wis_skills_31,wis_interdependent_10,wis_private_2,wis_private_6,wis_public_28,wis_public_27,wis_interdependent_12,wis_family_18,wis_public_26,wis_interdependent_9,wis_skills_29,wis_family_20,wis_centrality_23,wis_centrality_21,wis_interdependent_13,wis_centrality_22,wis_interdependent_8,wis_connection_16,wis_public_25,wis_interdependent_14,wis_private_3,wis_private_regard_total,wis_interdependent_total,wis_connection_total,wis_family_total,wis_centrality_total,wis_public_regard_total,wis_skills_total,wis_total,race_asian,race_native,race_black,race_latino,race_mena,race_pacific,race_white,race_other,race_multiple,race,rank_e1_e3,rank_e4_e6,rank_e7_e9,rank_w1_cw5,rank_o1_o3,rank_o4_o6,sex,sex_4_TEXT,sexual_orientation,sexual_orientation_6_TEXT,sex_female,sex_male,sex_nonbinary,sex_other,sexual_orientation_straight,sexual_orientation_gay,sexual_orientation_bi,sexual_orientation_other,service_era_post_wwii,service_era_korea,service_era_cold_war,service_era_vietnam,service_era_persian_gulf,service_era_post_911,service_era_multiple,service_era,military_exp_combat,military_exp_noncombat,military_exp_support,military_exp_peacekeeping,military_exp_total,military_exp_none,military_exp_any,branch_air_force,branch_army,branch_coast_guard,branch_marines,branch_navy,branch_space_force,branch_public_health,branch_none,branch_multiple,branch,discharge_reason,discharge_other,discharge_medical,discharge_unexpected,disability,disability_percent,enlisted,n_deploy,age_range,education,employment,marital,years_service,years_separation,pc_ptsd_positive_screen,mios_screener,years_of_age
5,4,5,2,4,4,2,4,5,4,4,5,4,5,4,4,4,4,4,4,5,28,14,10,14,20,86,2,4,2,3,3,3,3,3,4,3,2,2,4,4,2,3,3,3,4,2,3,1,3,4,3,4,2,3,4,2,4,26,16,9,6,14,13,8,92,0,0,0,0,0,0,1,0,0,White,0,1,0,0,0,0,male,NA,straight,NA,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,Persian Gulf: Pre-9/11,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,Navy,Service Completed,0,0,0,1,0.3,1,1,"(44.5,54.5]",Some college,Full Time,Married,10,21,0,0,51
5,2,4,2,4,4,3,3,5,5,2,5,3,5,4,3,5,3,5,4,5,27,12,9,15,18,81,3,4,4,4,4,4,4,3,4,4,3,2,4,4,3,3,3,3,3,3,4,4,4,4,3,4,2,3,3,3,3,27,19,11,11,15,12,11,106,0,0,0,0,0,0,1,0,0,White,0,1,0,0,0,0,male,NA,straight,NA,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,Persian Gulf: Pre-9/11,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,Navy,Voluntary Discharge,0,0,0,0,0,1,10,"(44.5,54.5]",High school diploma or equivalent,Full Time,Married,4,29,0,0,52
2,2,2,2,2,2,1,5,4,1,1,2,5,2,2,2,2,2,1,4,1,13,16,5,5,8,47,4,2,2,3,3,2,2,3,3,1,3,4,3,3,2,2,4,4,4,4,3,2,1,3,3,3,4,1,3,4,4,20,27,4,8,10,11,9,89,1,1,1,0,0,0,1,0,1,Multiple,1,0,0,0,0,0,male,NA,straight,NA,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,Cold War,0,1,1,0,2,0,1,0,0,0,1,0,0,0,0,0,Marines,Service Completed,0,0,0,1,0.2,1,2,"(64.5,74.5]",Some college,Part Time,Married,4,35,1,1,65
5,5,5,3,4,5,3,4,4,3,5,5,4,5,5,5,2,4,5,4,5,27,15,13,12,23,90,3,4,2,4,2,4,4,3,4,3,4,2,4,4,2,4,4,3,3,3,4,3,4,3,4,4,3,4,3,4,4,28,23,11,8,14,12,10,106,0,0,1,0,0,0,0,0,0,Black or African American,0,1,0,0,0,0,male,NA,straight,NA,0,1,0,0,1,0,0,0,0,0,1,1,1,0,1,Cold War,1,1,1,0,3,0,1,0,0,0,0,1,0,0,0,0,Navy,Service Completed,0,0,0,1,0.3,1,10,"(64.5,74.5]",Associates degree,Retired,Married,20,28,0,0,69
5,5,5,5,4,5,2,4,3,4,4,5,5,5,4,5,5,3,5,5,5,27,19,11,15,21,93,2,3,2,3,2,3,4,2,4,4,3,1,4,4,3,3,3,3,3,2,3,2,4,2,3,3,2,4,3,2,3,25,15,11,7,11,12,8,89,0,0,0,0,0,0,1,0,0,White,0,1,0,0,0,0,male,NA,straight,NA,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,Cold War,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,Army,Service Completed,0,0,0,0,0,1,0,"(54.5,64.5]",Associates degree,Full Time,Married,8,32,0,0,57
5,2,5,2,4,4,2,4,5,5,4,2,4,5,2,5,2,4,2,4,2,30,14,6,6,18,74,2,4,2,3,1,2,3,2,4,3,2,2,3,4,3,3,3,4,3,2,4,3,3,2,1,3,2,3,3,3,4,25,15,8,9,10,12,7,86,0,0,0,0,0,0,1,0,0,White,1,0,0,0,0,0,female,NA,straight,NA,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,Post-9/11,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,Air Force,Voluntary Discharge,0,0,0,0,0,1,0,"(18,34.5]",Some college,Unemployed,Married,1,13,0,1,32
2,5,5,5,4,2,5,2,4,5,2,1,5,4,5,5,2,2,5,4,5,25,16,15,8,15,79,4,3,1,3,2,4,4,4,4,4,3,1,2,3,1,3,3,3,3,4,4,1,1,3,2,3,3,4,1,3,3,22,20,12,5,11,8,9,87,1,0,0,0,0,0,0,0,0,Asian,0,0,0,0,1,0,female,NA,straight,NA,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,Post-9/11,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,Army,Medical Discharge,0,1,1,0,0,0,2,"(18,34.5]",Bachelors degree,Part Time,Never married,6,2,0,0,23
4,3,4,2,4,4,2,3,5,5,3,2,4,5,2,2,2,5,2,4,3,25,13,7,7,18,70,2,3,3,3,2,4,3,2,4,3,1,2,2,3,3,3,4,3,4,2,3,3,3,3,4,3,3,3,4,3,4,22,20,10,9,11,14,6,92,0,0,1,0,0,0,0,0,0,Black or African American,1,0,0,0,0,0,male,NA,straight,NA,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,Cold War,0,1,0,1,2,0,1,0,0,0,1,0,0,0,0,0,Marines,Voluntary Discharge,0,0,0,0,0,1,2,"(54.5,64.5]",Some college,Unemployed,Divorced,4,36,0,1,59
2,2,4,2,3,3,3,3,2,3,3,2,4,3,2,4,2,2,4,4,4,18,13,7,8,15,61,3,4,4,4,4,3,4,3,4,4,4,3,4,4,2,3,3,3,3,3,4,3,4,4,4,4,3,4,3,3,4,28,22,11,10,15,11,12,109,0,0,0,0,0,0,1,0,0,White,0,1,0,0,0,0,male,NA,straight,NA,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,Cold War,0,1,1,0,2,0,1,0,0,0,0,1,0,0,0,0,Navy,Service Completed,0,0,0,0,0,1,2,"(54.5,64.5]",High school diploma or equivalent,Retired,Married,4,40,0,0,63
2,1,4,1,4,1,1,5,5,4,1,4,4,2,2,5,1,1,5,4,4,22,14,4,9,12,61,4,3,3,4,2,3,4,3,4,4,3,4,3,4,3,3,4,4,3,4,4,4,4,4,4,4,3,4,3,4,3,25,27,11,11,15,12,9,110,0,0,0,0,0,0,1,0,0,White,0,1,0,0,0,0,male,NA,straight,NA,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,Persian Gulf: Pre-9/11,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,Army,Voluntary Discharge,0,0,0,1,0.1,1,0,"(44.5,54.5]",Associates degree,Full Time,Married,8,19,0,1,49
